,user,enrolled,predicted_reach
372,163814,1,0
373,306960,0,0
374,179558,1,1
375,259877,1,1
376,215345,0,0
377,55862,0,0
378,274769,0,0
379,258534,0,0
380,26346,0,1
381,118277,0,0
382,78427,0,1
383,77315,0,0
384,160290,1,1
385,147550,0,0
386,38408,0,0
387,145183,0,0
388,114144,1,1
389,307268,1,1
390,36356,0,1
391,99330,1,1
392,360702,0,0
393,260292,1,1
394,177360,0,0
395,70485,1,0
396,266159,1,1
397,348565,0,1
398,85584,0,0
399,133521,0,0
400,125280,1,1
401,228988,0,0
402,253949,1,1
403,212977,1,1
404,59052,0,0
405,250927,0,0
406,176775,0,0
407,239113,0,1
408,160487,0,0
409,358583,1,1
410,287371,0,1
411,29641,0,0
412,103451,1,0
413,109567,1,1
414,363360,0,0
415,36647,0,0
416,224473,1,1
417,255445,0,0
418,268523,1,1
419,340043,1,0
420,193471,1,0
421,148513,0,0
422,357201,1,0
423,66689,1,1
424,90439,0,1
425,74708,0,0
426,292301,1,1
427,198587,1,0
428,297973,1,0
429,354880,1,1
430,340675,0,1
431,319801,1,1
432,203115,1,1
433,228203,1,0
434,125669,1,1
435,192802,0,1
436,343777,1,1
437,353394,1,1
438,227986,0,0
439,66229,0,0
440,261223,0,0
441,88435,1,1
442,298991,1,0
443,36422,1,1
444,209997,1,1
445,48438,1,0
446,345012,0,0
447,368150,1,1
448,20770,1,1
449,321106,0,0
450,300930,0,1
451,257795,0,1
452,333618,0,0
453,208869,1,1
454,19541,1,1
455,38581,1,1
456,182789,0,1
457,26688,1,0
458,13427,1,1
459,250130,0,0
460,181354,0,1
461,204903,1,1
462,182149,1,1
463,341428,0,1
464,31514,0,1
465,68256,1,1
466,288670,1,1
467,116764,0,1
468,368120,1,1
469,208929,1,1
470,234489,1,1
471,192089,1,1
472,259309,1,1
473,115121,1,1
474,72126,1,1
475,43642,1,1
476,101389,1,1
477,283777,0,0
478,175763,1,1
479,317010,1,1
480,287866,1,1
481,368522,1,1
482,151167,0,0
483,306227,0,0
484,162326,1,1
485,233754,1,0
486,52532,1,1
487,191994,0,0
488,65564,0,0
489,19914,1,1
490,30700,1,1
491,23588,0,1
492,50484,0,0
493,314523,0,0
494,243908,0,0
495,248718,1,0
496,333760,1,1
497,240213,1,0
498,52305,0,0
499,16783,0,0
500,285183,1,1
501,81726,0,1
502,235581,1,1
503,294141,1,1
504,185508,0,0
505,142439,0,0
506,164013,1,0
507,187516,1,1
508,153541,0,0
509,30199,0,0
510,231041,0,0
511,112979,1,1
512,67325,0,1
513,79961,1,1
514,354186,1,1
515,140362,0,0
516,122912,0,0
517,264183,1,1
518,124,0,0
519,235257,0,0
520,109806,1,1
521,272881,0,1
522,1334,0,0
523,92487,1,1
524,292315,1,1
525,8266,1,0
526,77234,1,1
527,361505,1,0
528,303757,1,1
529,107048,1,1
530,7153,1,0
531,355152,1,1
532,228749,1,0
533,195859,1,0
534,242868,0,0
535,237257,1,1
536,67197,0,0
537,32678,1,1
538,67566,1,1
539,306856,1,0
540,141945,0,0
541,97243,0,0
542,198715,1,1
543,149119,1,1
544,248382,1,1
545,205243,1,1
546,35083,0,0
547,360256,0,0
548,126645,1,1
549,221761,1,1
550,90857,0,0
551,12164,0,0
552,168988,1,1
553,105732,0,0
554,250122,1,1
555,277234,1,1
556,74630,0,0
557,188458,1,1
558,262209,1,1
559,126134,0,0
560,236015,0,0
561,355549,1,1
562,180196,0,1
563,344596,1,1
564,280005,1,1
565,78476,0,0
566,306613,1,1
567,189695,1,1
568,205684,1,1
569,131286,0,0
570,288726,1,1
571,65260,1,1
572,363056,1,1
573,113658,1,1
574,186460,0,0
575,299503,0,1
576,307444,0,1
577,162287,1,1
578,90997,0,0
579,94600,1,0
580,98152,0,0
581,372289,1,1
582,40639,0,0
583,210609,1,1
584,290220,0,0
585,279393,0,1
586,194898,0,1
587,255768,1,1
588,318950,0,0
589,282811,0,0
590,187698,1,1
591,205562,1,1
592,311419,0,0
593,246823,0,0
594,296730,1,1
595,108528,0,1
596,94831,0,0
597,47286,1,1
598,272530,0,1
599,284102,0,0
600,366117,1,0
601,59819,1,1
602,364451,0,0
603,31319,1,1
604,158802,0,0
605,27654,0,1
606,51134,0,1
607,235888,0,0
608,169029,0,0
609,220007,0,0
610,180231,1,1
611,65908,1,1
612,35690,0,0
613,187307,1,1
614,41869,1,0
615,82309,1,1
616,18456,0,0
617,9647,1,0
618,62937,0,0
619,325332,0,0
620,366262,0,0
621,3448,1,1
622,200820,0,0
623,324366,0,1
624,60532,1,1
625,229111,1,1
626,147027,1,0
627,291684,0,0
628,27871,1,1
629,575,0,0
630,373622,1,1
631,289292,0,1
632,203387,1,1
633,196118,1,1
634,233274,0,1
635,232341,1,1
636,31875,0,0
637,173529,1,0
638,95739,0,0
639,130510,0,0
640,319367,0,1
641,127897,0,1
642,256804,1,1
643,360449,0,0
644,270970,1,1
645,39807,1,1
646,290914,1,1
647,259470,1,0
648,10489,0,0
649,88924,0,0
650,271488,1,1
651,184688,0,0
652,76443,1,1
653,166020,1,1
654,330932,0,0
655,158162,1,1
656,354674,0,0
657,87130,0,0
658,164553,1,1
659,91638,0,0
660,285320,1,1
661,131587,0,0
662,3450,0,1
663,177087,0,0
664,76158,0,0
665,13604,1,1
666,35972,1,1
667,72792,0,0
668,160741,1,1
669,206096,1,1
670,174641,0,1
671,223424,1,1
672,124793,0,0
673,327745,1,1
674,364971,1,1
675,31985,0,0
676,58147,1,1
677,75304,1,1
678,142046,1,1
679,343156,0,0
680,276033,0,0
681,35767,1,1
682,20235,0,1
683,277289,0,0
684,276745,1,1
685,231194,0,1
686,275771,0,0
687,231023,1,1
688,422,1,1
689,89185,1,1
690,208503,1,0
691,133986,0,0
692,152086,0,0
693,57414,0,0
694,308502,0,0
695,53392,1,1
696,33042,1,1
697,98504,1,1
698,244648,0,1
699,310528,0,0
700,135109,0,1
701,142189,0,0
702,57449,1,1
703,267594,1,1
704,64718,1,1
705,261448,0,0
706,352833,0,0
707,141919,1,1
708,79241,0,0
709,366805,1,0
710,20523,1,1
711,123964,1,1
712,233380,0,0
713,298578,1,1
714,138001,1,1
715,13012,1,1
716,309287,1,1
717,179160,0,0
718,298768,0,0
719,369754,1,1
720,272492,1,1
721,130988,0,0
722,328058,0,1
723,42425,1,1
724,205548,0,0
725,228681,1,1
726,340802,1,1
727,15228,1,1
728,360530,1,1
729,233088,0,0
730,63203,0,0
731,13880,0,1
732,26199,1,1
733,9944,0,0
734,222513,1,1
735,39267,1,1
736,10301,1,1
737,29793,0,0
738,306861,1,1
739,184823,1,1
740,103427,0,0
741,150782,0,0
742,231923,1,1
743,273852,1,1
744,190227,0,0
745,45760,0,1
746,156265,0,1
747,160416,0,0
748,59585,1,0
749,204469,1,0
750,37193,0,0
751,197586,0,1
752,282355,0,1
753,343872,0,0
754,230318,0,0
755,15435,1,1
756,102983,0,0
757,354592,0,0
758,47077,0,1
759,252150,1,0
760,136987,0,0
761,40482,0,1
762,303847,1,1
763,295000,0,0
764,362657,1,1
765,276851,1,1
766,277058,0,0
767,180264,1,1
768,55710,1,1
769,30797,1,1
770,136211,1,1
771,304452,1,1
772,92817,0,1
773,25219,1,1
774,74749,1,1
775,327664,0,1
776,171384,1,1
777,24270,0,1
778,23566,1,1
779,323430,0,0
780,328609,1,0
781,19461,0,0
782,282923,1,1
783,300120,0,0
784,65533,0,0
785,349598,1,1
786,228506,0,0
787,70046,1,1
788,159105,0,0
789,257267,0,0
790,72327,0,1
791,256710,1,0
792,164048,1,1
793,270310,1,1
794,250117,0,1
795,3839,1,1
796,297490,0,0
797,143818,1,0
798,309433,1,1
799,158444,0,1
800,31218,0,0
801,349049,0,0
802,17459,1,1
803,131591,0,0
804,203550,1,0
805,252022,0,0
806,5209,0,0
807,68969,0,0
808,9990,1,1
809,224964,0,0
810,85143,0,0
811,267547,0,1
812,109090,1,1
813,111910,0,1
814,290302,1,1
815,124950,1,1
816,294297,0,0
817,327599,1,1
818,252459,1,1
819,300388,0,0
820,264098,0,0
821,316383,1,1
822,29686,1,0
823,12064,1,1
824,278837,1,0
825,160407,1,1
826,360956,0,0
827,41987,1,1
828,68423,0,0
829,109610,0,0
830,81021,0,0
831,279876,0,1
832,322812,1,1
833,182701,0,0
834,216035,0,0
835,190120,0,1
836,347375,1,0
837,371405,1,1
838,98057,0,1
839,316738,1,1
840,329930,0,0
841,218072,0,0
842,2068,1,0
843,83393,0,0
844,193659,1,1
845,126604,0,0
846,62151,1,1
847,366801,1,1
848,291894,0,0
849,298063,1,1
850,323025,1,1
851,166974,1,1
852,235944,0,0
853,240009,0,0
854,99450,0,0
855,242733,1,1
856,215104,1,1
857,290799,0,0
858,332015,0,0
859,340272,1,1
860,274746,0,1
861,110797,1,0
862,162051,0,0
863,29195,1,1
864,143372,1,0
865,317616,0,0
866,358061,0,0
867,72097,0,0
868,189207,1,1
869,287591,0,0
870,176704,0,0
871,346666,1,1
872,27097,0,0
873,67396,0,1
874,324607,0,0
875,106432,1,1
876,242143,0,1
877,92352,0,0
878,141312,1,1
879,41614,0,1
880,176406,1,1
881,118370,1,1
882,52910,1,1
883,215786,1,1
884,272221,0,0
885,292352,1,1
886,208073,0,0
887,238517,0,1
888,353196,1,1
889,154095,0,0
890,337768,0,0
891,334765,0,0
892,2370,0,1
893,188235,0,0
894,352332,0,0
895,231597,0,1
896,96309,0,1
897,50609,1,0
898,14111,0,0
899,364957,1,1
900,201809,0,1
901,324905,1,1
902,313564,0,1
903,201101,0,1
904,20483,0,1
905,153040,1,1
906,279880,1,1
907,44341,1,1
908,68448,1,1
909,186404,1,1
910,187033,1,1
911,192297,0,1
912,228303,1,1
913,115561,0,1
914,97778,1,1
915,219022,1,1
916,89551,0,0
917,309519,0,0
918,165248,0,0
919,340590,0,0
920,303648,0,0
921,102395,0,1
922,13091,1,1
923,61432,0,0
924,269477,0,0
925,182273,0,1
926,123373,1,1
927,244721,1,0
928,239437,1,1
929,264462,1,1
930,280232,0,1
931,291015,0,0
932,354168,1,1
933,90928,0,0
934,328096,0,0
935,338825,0,0
936,142618,0,0
937,172239,0,0
938,157164,1,0
939,79219,0,0
940,212892,1,1
941,153767,1,1
942,129261,0,0
943,88852,1,1
944,35169,1,1
945,155451,1,0
946,62931,1,0
947,80780,0,0
948,145511,0,0
949,330840,1,1
950,254502,0,1
951,86636,1,0
952,322959,0,1
953,259593,1,1
954,121824,0,0
955,16023,0,1
956,23978,0,0
957,215236,1,1
958,176583,0,0
959,147891,1,1
960,28960,0,0
961,188635,0,1
962,89240,1,1
963,104563,1,0
964,202624,1,1
965,239237,0,0
966,118063,0,0
967,164507,1,1
968,238592,0,0
969,68145,1,1
970,87094,1,1
971,58693,0,1
972,308434,1,1
973,362933,0,0
974,159427,0,1
975,309265,1,1
976,55064,0,1
977,197844,1,1
978,144061,0,1
979,25508,0,0
980,190714,0,0
981,223842,1,1
982,189725,0,0
983,46459,0,1
984,212911,0,0
985,165836,0,0
986,274602,0,1
987,204503,1,0
988,174498,1,1
989,281325,1,0
990,200755,0,0
991,313722,1,1
992,65131,0,0
993,15154,1,0
994,320622,0,0
995,72191,0,0
996,296819,1,1
997,242120,1,1
998,150895,1,0
999,196633,1,1
1000,328227,1,1
1001,70562,0,0
1002,245817,0,1
1003,2414,0,0
1004,228810,1,1
1005,187940,1,1
1006,267211,1,1
1007,204168,1,0
1008,70160,1,0
1009,266539,1,1
1010,142242,1,1
1011,296350,1,0
1012,366727,0,0
1013,115223,0,0
1014,7421,1,1
1015,7739,0,0
1016,65813,0,0
1017,341134,1,1
1018,126441,0,1
1019,268419,0,0
1020,147341,0,0
1021,88667,0,0
1022,100321,0,1
1023,270415,1,1
1024,347053,1,1
1025,153281,0,0
1026,44743,1,1
1027,119882,0,0
1028,2416,1,1
1029,71775,0,1
1030,218200,0,0
1031,353337,0,1
1032,193445,0,0
1033,152997,0,0
1034,48082,1,1
1035,229047,1,0
1036,87250,0,0
1037,175548,1,0
1038,231993,1,0
1039,248115,1,0
1040,198588,1,1
1041,152134,0,0
1042,27067,1,1
1043,231832,1,1
1044,48786,1,1
1045,195665,1,1
1046,10191,1,1
1047,129613,1,1
1048,263453,0,1
1049,214812,0,0
1050,363606,0,0
1051,260050,0,1
1052,184511,0,1
1053,327236,1,1
1054,370948,1,1
1055,185249,1,1
1056,104417,0,0
1057,143387,0,0
1058,324873,0,0
1059,199265,0,1
1060,332719,1,1
1061,204666,1,1
1062,65497,0,0
1063,153809,0,0
1064,165781,1,1
1065,167507,0,0
1066,291786,0,0
1067,109775,0,1
1068,128156,1,0
1069,338656,1,1
1070,118734,0,1
1071,193478,0,0
1072,154813,0,0
1073,300162,0,1
1074,350579,0,0
1075,81415,1,1
1076,196743,1,0
1077,325108,0,1
1078,82732,1,1
1079,330592,1,0
1080,208028,1,1
1081,213154,0,1
1082,312597,0,0
1083,27937,0,1
1084,268501,0,1
1085,301071,1,1
1086,221690,0,0
1087,255346,1,1
1088,195598,1,1
1089,124045,0,0
1090,78646,0,1
1091,142878,1,0
1092,132534,0,0
1093,151774,1,1
1094,253856,0,0
1095,305593,0,0
1096,349925,0,1
1097,3190,0,0
1098,34886,1,1
1099,221568,0,0
1100,148972,0,0
1101,323395,1,0
1102,323478,0,0
1103,68082,1,1
1104,208757,0,0
1105,200343,1,1
1106,11798,1,1
1107,204140,0,1
1108,343026,0,0
1109,221846,1,1
1110,318796,1,1
1111,357580,1,1
1112,274171,1,1
1113,135879,0,0
1114,346607,0,0
1115,15388,1,1
1116,43240,1,1
1117,135453,0,0
1118,41165,1,1
1119,316804,1,1
1120,40868,0,0
1121,54893,0,1
1122,153943,0,0
1123,221832,0,1
1124,81806,1,1
1125,353556,1,1
1126,191568,0,1
1127,222327,1,1
1128,186172,0,1
1129,320934,0,0
1130,6684,1,0
1131,309528,0,1
1132,34414,1,1
1133,360787,1,1
1134,284248,1,1
1135,247104,0,0
1136,80753,1,0
1137,348937,1,1
1138,106617,0,1
1139,286005,0,0
1140,277797,0,1
1141,173832,0,0
1142,245434,0,1
1143,169805,0,1
1144,39911,0,0
1145,73303,0,0
1146,7594,1,1
1147,242604,1,0
1148,107429,0,0
1149,286255,1,1
1150,184766,0,1
1151,355095,1,0
1152,359496,0,0
1153,215576,0,1
1154,195570,0,0
1155,255972,1,1
1156,323540,0,0
1157,99657,0,0
1158,256116,1,1
1159,164649,1,1
1160,88888,1,1
1161,48525,0,0
1162,168265,1,1
1163,207578,1,1
1164,211454,0,0
1165,337811,1,1
1166,112159,0,0
1167,235158,1,1
1168,298815,1,1
1169,202191,0,0
1170,38905,1,1
1171,146380,0,0
1172,319694,1,1
1173,307990,1,0
1174,203407,1,1
1175,370305,1,1
1176,144824,0,0
1177,129258,0,0
1178,251141,0,1
1179,83382,1,0
1180,241519,0,0
1181,356632,0,0
1182,320912,1,1
1183,254129,1,0
1184,77352,1,1
1185,360253,0,0
1186,191550,1,0
1187,186200,0,0
1188,25136,1,1
1189,130150,0,0
1190,49431,0,0
1191,310178,1,1
1192,39386,1,1
1193,195888,0,1
1194,211932,0,0
1195,285452,0,0
1196,228873,1,0
1197,253377,0,0
1198,198616,1,1
1199,319606,1,1
1200,221421,1,1
1201,134271,0,0
1202,145696,1,1
1203,194241,1,1
1204,306816,1,0
1205,323608,1,1
1206,323987,0,0
1207,81436,0,0
1208,35950,1,1
1209,128144,1,1
1210,153933,1,1
1211,373639,0,0
1212,316123,0,0
1213,152570,1,1
1214,280846,0,1
1215,183331,0,0
1216,281129,0,0
1217,136921,1,1
1218,348997,1,0
1219,125782,0,0
1220,163715,1,1
1221,124061,0,0
1222,33403,1,1
1223,189376,1,0
1224,184972,0,0
1225,286291,0,0
1226,75067,1,1
1227,332731,1,1
1228,366716,0,1
1229,82090,0,0
1230,210580,0,0
1231,279382,0,0
1232,262446,1,1
1233,124775,0,1
1234,45969,0,1
1235,126647,1,1
1236,179478,1,1
1237,65234,0,0
1238,277080,1,1
1239,275673,0,0
1240,197293,0,0
1241,45819,0,0
1242,329579,1,1
1243,251265,1,0
1244,27467,0,0
1245,67772,1,1
1246,279316,1,1
1247,194585,1,1
1248,152388,0,1
1249,171483,0,1
1250,222308,0,1
1251,233444,0,1
1252,118091,1,1
1253,284582,1,0
1254,372347,1,1
1255,24733,1,1
1256,37519,0,0
1257,156411,0,0
1258,367958,0,0
1259,231507,0,0
1260,297562,0,0
1261,350863,0,0
1262,172891,0,0
1263,331265,1,1
1264,21908,1,1
1265,90763,1,1
1266,236941,1,1
1267,263677,0,0
1268,315088,0,0
1269,79986,0,1
1270,293367,0,0
1271,55945,0,0
1272,224980,1,1
1273,85412,1,1
1274,156705,1,1
1275,63202,1,1
1276,284605,0,1
1277,16472,0,0
1278,208801,1,1
1279,29171,0,0
1280,341611,1,1
1281,34441,0,0
1282,147839,0,0
1283,107916,0,0
1284,52567,1,0
1285,311064,0,1
1286,117465,1,1
1287,341990,0,0
1288,373462,0,0
1289,42592,1,1
1290,40597,0,0
1291,31383,0,1
1292,174278,0,0
1293,191522,1,1
1294,212836,1,1
1295,175821,0,1
1296,136960,1,0
1297,278731,0,0
1298,17099,0,1
1299,130561,1,1
1300,118204,1,1
1301,267743,0,1
1302,195837,1,1
1303,101092,1,1
1304,159668,0,0
1305,199331,1,0
1306,311940,0,0
1307,128065,1,1
1308,153070,0,0
1309,233779,1,1
1310,308915,1,1
1311,330777,1,1
1312,54229,0,0
1313,298022,1,1
1314,338038,1,0
1315,328496,0,0
1316,147007,0,1
1317,178850,0,0
1318,104858,0,0
1319,324364,0,0
1320,144734,0,0
1321,328472,0,1
1322,209232,1,0
1323,329924,0,1
1324,62728,1,1
1325,236732,1,0
1326,346722,1,1
1327,346671,0,1
1328,10168,1,1
1329,337512,1,1
1330,258371,1,1
1331,280037,0,0
1332,261866,0,0
1333,217908,1,1
1334,196237,0,0
1335,131953,0,0
1336,153397,1,1
1337,360882,0,0
1338,51418,0,0
1339,26747,1,1
1340,10455,1,1
1341,240733,1,1
1342,268778,1,1
1343,17636,0,1
1344,142265,1,0
1345,76787,1,1
1346,19181,1,1
1347,364504,0,0
1348,161733,0,0
1349,55006,1,1
1350,38753,0,0
1351,150332,1,1
1352,199463,1,1
1353,190234,0,1
1354,26969,1,1
1355,249219,0,0
1356,311273,1,1
1357,89305,1,1
1358,97179,0,1
1359,227346,1,1
1360,206579,0,0
1361,159346,1,1
1362,175701,1,1
1363,248474,0,0
1364,318412,0,0
1365,239472,1,1
1366,214793,1,1
1367,112403,1,1
1368,76139,1,1
1369,361299,0,0
1370,321394,0,0
1371,52413,0,0
1372,315718,1,1
1373,151279,0,1
1374,350662,0,0
1375,191632,1,0
1376,275470,0,1
1377,183808,1,1
1378,43672,1,1
1379,336888,0,1
1380,189213,0,0
1381,36543,0,0
1382,132586,0,0
1383,223046,1,1
1384,371548,1,0
1385,101709,1,0
1386,97896,1,1
1387,102279,1,1
1388,77122,0,0
1389,144038,0,0
1390,78091,1,1
1391,315125,0,0
1392,228729,1,1
1393,5899,1,1
1394,61035,0,0
1395,2954,0,0
1396,162669,0,0
1397,91089,0,0
1398,119415,0,1
1399,69056,1,1
1400,298919,1,1
1401,243259,1,1
1402,285199,0,1
1403,164144,1,1
1404,29230,0,0
1405,208291,1,1
1406,70927,0,0
1407,111784,0,0
1408,6465,0,0
1409,8642,1,0
1410,321479,1,1
1411,270386,1,1
1412,334271,0,0
1413,53892,0,1
1414,173803,1,1
1415,116065,1,1
1416,21277,1,1
1417,169871,0,0
1418,166447,0,0
1419,315102,1,1
1420,249025,1,1
1421,190642,0,0
1422,206069,1,1
1423,322201,0,0
1424,147894,0,0
1425,29047,1,0
1426,165077,0,0
1427,188200,1,1
1428,125224,0,0
1429,40731,1,0
1430,58943,0,1
1431,54650,0,1
1432,47629,1,1
1433,75407,0,1
1434,97295,1,1
1435,44583,1,1
1436,229884,1,1
1437,99281,1,1
1438,352549,1,1
1439,26496,1,1
1440,182442,1,1
1441,253312,0,0
1442,301187,0,1
1443,343476,0,0
1444,30872,0,0
1445,284368,0,0
1446,259966,0,0
1447,196076,0,0
1448,372683,1,1
1449,169099,1,1
1450,179175,1,0
1451,163235,0,0
1452,333008,0,0
1453,98394,1,0
1454,120130,1,1
1455,96841,0,0
1456,210585,1,0
1457,171567,1,0
1458,225744,0,0
1459,314477,0,0
1460,335515,1,1
1461,137914,0,0
1462,51697,1,1
1463,168365,0,0
1464,292418,0,0
1465,248518,1,1
1466,79609,0,0
1467,219747,0,1
1468,298909,0,1
1469,255484,0,0
1470,244232,0,0
1471,303100,0,1
1472,128515,1,1
1473,369394,0,0
1474,82541,1,1
1475,228989,1,1
1476,305757,1,0
1477,101616,1,1
1478,92805,1,0
1479,192689,0,1
1480,236410,0,0
1481,5010,0,0
1482,20340,0,0
1483,242768,1,1
1484,219333,1,1
1485,301634,0,0
1486,312444,0,1
1487,149604,0,0
1488,318620,1,1
1489,107428,0,1
1490,126202,1,1
1491,159264,0,1
1492,336374,0,0
1493,181551,1,1
1494,207239,0,0
1495,27049,1,1
1496,286757,1,1
